ID;Date;Région;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée;Commentaires
TER_7;2014-02;Centre;8409;8332;77;517;93.8;15.1;
TER_4;2014-02;Basse Normandie;3029;2989;20;140;95.3;20.4;Tempête Ulla en milieu de mois avec des arbres sur les voies.
TER_1;2014-02;Alsace;17814;17957;129;799;95.6;21.5;Ralentissements Vendenheim suite travaux TGV.
TER_1;2014-03;Alsace;19367;19212;155;547;97.2;34.1;
TER_4;2014-03;Basse Normandie;3233;3184;49;136;95.7;22.4;Beaucoup de suppressions dues à des absences de personnel (conduite et accompagnement des trains) et au mouvement social Pays de Loire. Ainsi qu'un accident de personne en gare de Mézidon le 24.
TER_5;2014-03;Bourgogne;7505;7334;171;528;92.8;12.9;Un bon mois de mars, certes moins exceptionnel que celui en 2013, qui permet de clore un trimestre remarquable d'homogénéité sur la majorité des axes Bourguignons
TER_6;2014-03;Bretagne;8383;8337;46;209;97.5;38.9;Meilleur résultat depuis juillet 2010.
TER_9;2014-03;Franche Comté;5258;5154;104;306;94.1;15.8;
TER_15;2014-03;Nord Pas de Calais;18988;18601;387;1186;93.6;14.7;Difficulté de couverture traction du plan de transport.
TER_16;2014-03;Pays de la Loire;10291;10058;233;629;93.7;15.0;
TER_19;2014-03;Provence Alpes Côte d'Azur;13338;12790;548;1903;85.1;5.7;Fermeture de la ligne Nice Breil et coupure de la ligne Grenoble Briançon au niveau de Clelles Mens consécutives à des éboulements.
TER_20;2014-03;Rhône Alpes;28473;27697;776;2484;91.0;10.2;Mois correct malgré des événements externes importants
TER_2;2014-04;Aquitaine;8373;8239;134;629;92.4;12.1;De nombreux chocs (avec des animaux et des arbres) sur les voies ont endommagés le matériels roulants le rendant indisponibles pendant de longues périodes.
TER_9;2014-04;Franche Comté;5520;5494;26;461;91.6;10.9;
TER_11;2014-04;Languedoc Roussillon;4518;4488;30;327;92.7;12.7;Le meilleur mois depuis ce début d'année à plus de deux points au-dessus de l'objectif.
TER_17;2014-04;Picardie;11129;11059;70;729;93.4;14.2;
TER_15;2014-05;Nord Pas de Calais;18023;17828;195;1108;93.8;15.1;
TER_1;2014-05;Alsace;18720;18566;154;633;96.6;28.3;
TER_5;2014-05;Bourgogne;7569;7480;89;565;92.4;12.2;Des résultats supérieurs à l’exercice 2013, mais handicapés par une deuxième quinzaine irrégulière, avec notamment sept journées sous les 91%.
TER_14;2014-05;Midi Pyrénées;8431;8270;161;572;93.1;13.5;Malveillance et intempéries (155 circulations, dérangements sur passages à niveau et installations (116 circulation.), défaillance d'engin moteur (89 circulations, agent de conduite (50 circulations).
TER_17;2014-05;Picardie;10811;10763;48;605;94.4;16.8;
TER_1;2014-06;Alsace;16152;14943;1209;652;95.6;21.9;Mouvement social national.
TER_3;2014-06;Auvergne;3728;3614;114;319;91.2;10.3;Evénements extérieurs (malveillance), dérangements d'installations. Mouvement social.
TER_5;2014-06;Bourgogne;6027;5653;374;643;88.6;7.8;Des résultats particulièrement mauvais, handicapés par le mouvement social sur la réforme ferroviaire.
TER_9;2014-06;Franche Comté;4340;4283;57;486;88.7;7.8;
TER_11;2014-06;Languedoc Roussillon;3661;3063;598;358;88.3;7.6;Le mouvement social impacte fortement la production de ce mois de juin.
TER_17;2014-06;Picardie;7840;7719;121;780;89.9;8.9;Mouvement social national du 11 au 24 juin.
TER_20;2014-06;Rhône Alpes;20799;18325;2474;2693;85.3;5.8;La ponctualité a été fortement impactée par le mouvement social. Des non-saisies en opérationnel durant la grève pénalisent très fortement la statistique du nombre de trains annulés.
TER_1;2014-07;Alsace;16628;16370;258;549;96.6;28.8;
TER_4;2014-07;Basse Normandie;3731;3704;27;173;95.3;20.4;Un mois de juillet à l'objectif avec tout de même des difficultés de production la semaine 29 (des correspondances avec des Intercités en retards, des dérangements d'installation et des difficultés matériels).
TER_9;2014-07;Franche Comté;5685;5629;56;465;91.7;11.1;
TER_1;2014-08;Alsace;15834;15667;167;393;97.5;38.9;
TER_3;2014-08;Auvergne;5113;5061;52;259;94.9;18.5;Dérangements d'installations et événements extérieurs (intempéries, malveillance).
TER_9;2014-08;Franche Comté;5463;5426;37;276;94.9;18.7;
TER_11;2014-08;Languedoc Roussillon;4955;4874;81;598;87.7;7.2;
TER_16;2014-08;Pays de la Loire;10808;10698;110;549;94.9;18.5;
TER_19;2014-09;Provence Alpes Côte d'Azur;14036;13441;595;2581;80.8;4.2;L’indisponibilité d’une partie du parc (TER 2 N NG) perturbe fortement la production PACA. En effet, un certain nombre de rames doit être acheminées dans un délai très court sur leur centre de maintenance pour vérifier et/ou intervenir sur les organes de roulement.
TER_20;2014-09;Rhône Alpes;28760;28490;270;2870;89.9;8.9;Une réalisation de l'offre à l'objectif mais une régularité touchée par des événements externes.
TER_2;2014-10;Aquitaine;9227;9045;182;1060;88.3;7.5;Des travaux de modernisation en gare de Bordeaux et ses alentours ont réduit la capacité de celle-ci, occasionnant de nombreux retards. Cela est complété par un phénomène d'été indien sur certaine ligne.
TER_7;2014-10;Centre;9201;9085;116;736;91.9;11.3;Perte de temps pour travaux et évenements externes.
TER_15;2014-10;Nord Pas de Calais;20121;19812;309;1707;91.4;10.6;
TER_17;2014-10;Picardie;11027;10843;184;1213;88.8;7.9;Mouvement social local sur Paris-Beauvais. Toujours de nombreuses limitations temporaires de vitesse.
TER_1;2014-11;Alsace;18308;18163;145;625;96.6;28.1;
TER_4;2014-11;Basse Normandie;2964;2942;22;195;93.4;14.1;Malgré plusieurs difficultés en début de mois (accidents routiers, personnes suicidaire, patinages…), c'est le meilleur mois de novembre de ces trois dernières années.
TER_6;2014-11;Bretagne;7146;7087;59;517;92.7;12.7;Un mois de novembre fortement perturbé par les travaux sur la ligne Rennes-Messac.
TER_8;2014-11;Champagne Ardenne;5580;5546;34;272;95.1;19.4;
TER_11;2014-11;Languedoc Roussillon;4115;3976;139;617;84.5;5.4;
TER_13;2014-11;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_14;2014-11;Midi Pyrénées;7946;7709;237;975;87.4;6.9;
TER_10;2014-12;Haute Normandie;5866;5759;107;341;94.1;15.9;
TER_16;2014-12;Pays de la Loire;11412;11169;243;1010;91.0;10.1;
TER_1;2015-01;Alsace;19378;19172;206;653;96.6;28.4;
TER_3;2015-01;Auvergne;6155;6039;116;320;94.7;17.9;Conditions météo, dérangements d'installations et problèmes matériel.
TER_8;2015-01;Champagne Ardenne;6137;6085;52;297;95.1;19.5;
TER_13;2015-01;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_20;2015-01;Rhône Alpes;29933;29530;403;3271;88.9;8.0;Début d'année compliqué marquée par des évenements externes (intempéries), des pannes matériel, des événement survenus aux autres transporteurs SNCF et à l'Infrastructure.
TER_2;2015-02;Aquitaine;8037;7823;214;825;89.5;8.5;
TER_8;2015-02;Champagne Ardenne;5633;5572;61;226;95.9;23.7;
TER_13;2015-02;Lorraine;12387;12217;170;543;95.6;21.5;
TER_17;2015-02;Picardie;10286;10125;161;1058;89.6;8.6;Un mois encore difficile, avec notamment la mise en place d'une LTV entre Corcy et Villers-Cotterêts suite à l'instabilité d'un talus
TER_19;2015-02;Provence Alpes Côte d'Azur;14362;13783;579;2411;82.5;4.7;
TER_11;2015-03;Languedoc Roussillon;4382;4293;89;459;89.3;8.4;
TER_14;2015-03;Midi Pyrénées;8706;8524;182;559;93.4;14.2;"1. Externe (157 circ.)
2. ADC TER (130 Circ.)
3. Matériel TER (74 Circ.)
4. Dérangements d'installations (67 Circ.)"
TER_1;2015-04;Alsace;18397;18233;164;521;97.1;34.0;
TER_7;2015-04;Centre;8718;8632;86;555;93.6;14.6;Résultat à l'objectif, les évenements marquants pour les lignes Euréliennes sont des événements hors transporteur du type : des feux de talus, alimentation éléctrique. Concernant les lignes Centre, 2 dérangements d'installations ont principalement marqué le mois.
TER_11;2015-04;Languedoc Roussillon;4479;4408;71;417;90.5;9.6;
TER_3;2015-05;Auvergne;5591;5534;57;203;96.3;26.3;Événements externes, Problèmes matériels, dérangements d'installations
TER_6;2015-05;Bretagne;7692;7655;37;265;96.5;27.9;
TER_12;2015-05;Limousin;3824;3793;31;192;94.9;18.8;
TER_18;2015-05;Poitou Charentes;3288;3271;17;194;94.1;15.9;Une production qui retrouve un bon niveau.
TER_1;2015-06;Alsace;19640;19391;249;727;96.3;25.7;
TER_2;2015-06;Aquitaine;8360;8115;245;1146;85.9;6.1;"""Des travaux en gare de Bordeaux et dans sa périphérie mettent en difficulté la circulation des trains. 
Les fortes chaleurs de juin ont impactées fortement la régularité, des restrictions de vitesse des trains ont été mise en place pour préserver les installations (voie et caténaire)."""
TER_3;2015-06;Auvergne;6234;6171;63;307;95.0;19.1;Problème matériel, Derangement d'installation, conditions météo
TER_12;2015-06;Limousin;4211;4168;43;275;93.4;14.2;"De manière générale, les principaux retards en juin sont liés :
• Aux défaillances de l’infrastructure pour 2,66 points (en forte augmentation par rapport au mois précédent de quasi 1,5 point) suite en particulier à des dérangements de PN principalement sur la ligne 2, des dérangements de block sur la ligne 4, des dérangements du compteur d’essieux sur lignes 2 et 8, et la mise en place d’une LTV pour défaut de géométrie de la voie sur la ligne 2.
• Aux causes externes pour 1,17 point  avec comme faits marquants   des divagations de bestiaux et un accident de personne sur Intercité.
• A des causes imputables à la circulation ferroviaire pour 0,31 point avec en particulier des prises de services tardives sur ligne 5 et des difficultés de gestion des circulations sur ligne 8.
• Aux défaillances du matériel roulant (1,25 point), en légère augmentation par rapport au mois précédent avec en particulier le blocage d’un bogie sur ligne 8.
•  Aux correspondances et prises en charge clientèle (0,60 point).
• A des causes liées aux conducteurs et ASCT pour 0,28 point.

On enregistre des suppressions :
•  pour défauts ou défaillances de matériel dont 10 liés à l’incident du 17 juin sur ligne 8 (blocage d’un bogie sur un engin)
•  pour absences et/ou défaut de conducteurs. 
• en lien avec des défaillances de l’infrastructure dont en particulier 5 suite d’un dérangement du compteur d’essieux sur ligne 2 et 6 suite d’un dérangement de zone sur le secteur circulation de Saint Sulpice .
• pour l’externe suite d’un accident de personne sur un Intercité."
TER_16;2015-06;Pays de la Loire;11081;10868;213;925;91.5;10.7;
TER_19;2015-06;Provence Alpes Côte d'Azur;15062;14554;508;2477;83.0;4.9;
TER_20;2015-06;Rhône Alpes;28458;28068;390;3149;88.8;7.9;La production est fortement impactée par des événements Infrastructure et externe en forte hausse.
TER_1;2015-07;Alsace;17170;17012;158;676;96.0;24.2;
TER_2;2015-07;Aquitaine;8373;7990;383;1186;85.2;5.7;"""Des travaux en gare de Bordeaux et dans sa périphérie mettent en difficulté la circulation des trains. 
Les fortes chaleurs de juillet et des incendies en bordures des voies ont impactées fortement la régularité, des restrictions de vitesse des trains ont été mise en place pour préserver les installations (voie et caténaire)."""
TER_13;2015-07;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_14;2015-07;Midi Pyrénées;8323;8217;106;680;91.7;11.1;"1. Externe (166 circ.)
2. Matériel TER (105 Circ.)
3. Dérangements d'installations (96 Circ.)
4. ADC TER (87 Circ.)"
TER_18;2015-07;Poitou Charentes;3594;3537;57;321;90.9;10.0;"Le mois de juillet est ""traditionnellement"" faible. Les fortes chaleurs, divers incidents et autres heurts (véhicules ou personnes) ont encore plus péjoré les résultats."
TER_7;2015-08;Centre;9258;9176;82;641;93.0;13.3;"Résultat en dessous de l'objectif :
Pas d'incidents majeurs sur les lignes Centre même si 19 journées ne sont pas à l'objectifs. Trois familles de causes restent à u niveau supérieur à la moyenne : Transporteur (avec des avaries matériels), Réseau (dérangements d'installation) et Externe (Rafales de vent du 24/08 provoquant la chutes de branches/arbres). A noter également des retards imputés au service voyageurs (Vélo, PMR, groupe).
Deux semaines difficiles pour les lignes euréliennes. 43% des retards sont des causes Externes (Collision PN, Collision animal, Conditions climatiques), 25% pour Réseau (Divers dérangements d'installation) enfin 13%  pour le Transporteur (Avaries matériel)."
TER_8;2015-08;Champagne Ardenne;5550;5491;59;281;94.9;18.5;"Plusieurs incendies aux abords de la voie (notamment le 02 à St Dizier et le 03 à Changis St Jean) ; Plusieurs arbres tombés sur la voie ou les caténaires suite aux orages (notamment le 13 entre Trilport et Nogent l'Artaud) ; quelques défaillances de matériel (notemment panne du train transilien 117132 à Changis St Jean)"
TER_15;2015-08;Nord Pas de Calais;15700;15513;187;949;93.9;15.3;
TER_13;2015-09;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_3;2015-10;Auvergne;5725;5607;118;346;93.8;15.2;Événements externes, Problèmes matériels, limitations de vitessse et dérangements d'installations
TER_4;2015-10;Basse Normandie;3045;2899;146;185;93.6;14.7;Ce mois d'Octobre, de mannière comparable à l'année dernière, est marqué par les difficultés d'adhérence ainsi que des difficultés de circulations. Cependant ce qui a le plus marqué la production en fin de mois est le droit de retrait qu'ont exercés les conducteurs, sur un certain type de matériel, suite à la dérive d'un train consécutif à un heurt le 20 octobre en Picardie.
TER_5;2015-10;Bourgogne;7778;7690;88;887;88.5;7.7;"Mois marqué par de nombreux incidents  et une forte actualité travaux sur la Bourgogne nord (de Paris à Dijon).
La Bourgogne nord est notamment très marquée par les 3 semaines de travaux préparatoires au RVB Sens – Laroche, dont les conséquences ont été plus importantes que celles attendues sur les travaux principaux du 1er semestre 2016 en matière d’impacts sur le plan de transport (PTA).
De plus, l’axe Paris – Laroche – Dijon cumule plusieurs zones de LTV (Combs La Ville – Lieusaint, Sens – Laroche, Saint Florentin, Montbard…) avec des effets collatéraux en matière de service voyageurs et gestion des correspondances  dans les gares de Laroche et Sens."
TER_7;2015-11;Centre;8409;8285;124;984;88.1;7.4;"Ce mois constitue le plus mauvais  résultat de l'année 2015. Parmis les causes principales se retrouvent :  les conséquences des conditions automnales (patinage/enrayage ; phénomène de brouillard, orage). Une dégradation des dérangements d'installations avec des incidents très pénalisants (plusieurs incidents caténaires sur la région et hors région ; un dérangement de TVP...) ; les ralentissements qui restent également à un haut niveau (+ de 70 TER retardés sur le mois). Les causes Externes sont également à la hausse (+16%). Les autres activités (TGV, TN,IC,Fret et autres EF) n'étant pas au mieux, nos retards consécutifs aux espacements et autres incidents indirectes sont en nette augmentation (+23%). Coté transporteur , on notera une hausse des correspondances (dont une bonne partie due à la LTV de Etampes et péjorant les IC)."
TER_10;2015-11;Haute Normandie;5297;5157;140;497;90.4;9.4;
TER_11;2015-11;Languedoc Roussillon;4428;4310;118;680;84.2;5.3;
TER_14;2015-11;Midi Pyrénées;7701;7418;283;974;86.9;6.6;"1. Externe (253 circ.)Dérangements d'installations (174 Circ.)
2. Matériel TER (126 circ.)
3. ADC TER (118 circ.)
4. Escale - Prise en charge client (116 Circ.)"
TER_2;2015-12;Aquitaine;8469;7920;549;1109;86.0;6.1;"Des travaux en gare de Bordeaux et dans sa périphérie mettent en difficulté la circulation des trains. De fortes contraintes d'exploitation des matériels X73500 pénalisent les circulations en sud Aquitaine  
Incidents du mois : ralentissements suite à déshuntage à Pau, droit de retrait des contrôleurs suite à agression à Biarritz , accident de personne en gare de Bordeaux"
TER_17;2015-12;Picardie;11485;11214;271;691;93.8;15.2;Un mois à l'objectif, le meilleur de l'année, avec néanmoins de nombreuses suppressions suite au manque de personnel.
TER_4;2016-01;Basse Normandie;3211;3153;58;185;94.1;16.0;Ce mois est encore marqué par de nombreuses difficultés avec le parc matériel qui ont entrainés beaucoup de retards et de suppressions, et par des difficultés de circulations, mais l'évènement le plus marquant du mois reste l'accident de personne du 25 janvier qui a beaucoup impacté la production.
TER_9;2016-01;Franche Comté;5730;5658;72;367;93.5;14.4;
TER_11;2016-01;Languedoc Roussillon;4511;4345;166;507;88.3;7.6;
TER_13;2016-01;Lorraine;13485;13145;340;628;95.2;19.9;
TER_20;2016-01;Rhône Alpes;29464;29119;345;3382;88.4;7.6;Des événements  externes, Infrastructure et matériel viennent impacter ce mois de janvier.
TER_1;2016-02;Alsace;18666;18379;287;904;95.1;19.3;Maintien du ralentissement à 10 km/h  entre Bourg-Bruche et St-Blaise-la-Roche-Poutay pour des raisons de sécurité
TER_5;2016-02;Bourgogne;7568;7489;79;712;90.5;9.5;Résultats issus d'effets conjugués entre : impact travaux contexte RVB Laroche,  Sens impactant BG Nord, suppressions pour cause matériel en legere hausse
TER_11;2016-03;Languedoc Roussillon;4268;4205;63;403;90.4;9.4;
TER_12;2016-03;Limousin;3730;3664;66;274;92.5;12.4;"""De manière générale, les principaux retards en mars sont liés :
• Aux défaillances de l’infrastructure pour 2,3 points suite en particulier à des dérangements d’intervalle sur Vieilleville, un défaut d’isolement sur le secteur circulation de Limoges ayant eu de fortes conséquences au niveau des circulations, quelques dérangements du système d’exploitation de la ligne 8,  mais aussi tout un lot de dérangements  de PN et signaux particulièrement ciblés sur les lignes 2, 3 et 8, quelques dérangements de block sur ligne 4.
• Aux causes externes pour 0,9 point  avec des  divagations ou heurts  de bestiaux, des chutes d’arbres, et quelques actes de vandalisme avec dépose d’obstacles sur la voie.
• Aux défaillances du matériel roulant (1,6 point), avec des difficultés de sorties du dépôt, des avaries de portes, des difficultés de formation d’UM, … ainsi qu’une avarie de boucle inductive. 
•  Aux correspondances et prises en charge clientèle (0,6 point), 
• A des causes liées aux conducteurs et ASCT pour quasi 0,4 point.
Suppressions :
•  suppressions pour défauts ou défaillances de matériel.
•  suppressions pour absences et/ou défaut de conducteurs.
•  suppression suite réutilisation des ressources.
• suppression pour absences et/ou défaut de contrôleur.
• suppressions suite en particuliers au défaut d’isolement sur le secteur circulation du PRCI de Limoges.
•  suppressions pour causes externes"
TER_7;2016-04;Centre;8344;8219;125;602;92.7;12.7;"Un mois en deux teintes : un excellent résultat sur le secteur Eurélien (Pairs Chartres et Chartres Courtalain) peu d'incidents à noter. Plus difficile sur les autres secteurs avec des accidents de PN ; des limitations de vitesse inopinées en attente de travaux à réaliser sur la voie. Quelques dérangements d'installation (signalisation) avec un fort impact (entrée de Tours ; Ligne Orléans -Tours)"
TER_11;2016-04;Languedoc Roussillon;4115;4051;64;363;91.0;10.2;Le mois d'avril se termine au-dessus de notre objectif et dépasse encore la barre des 90% de ponctualité. On constatera que notre ponctualité est en constante progression depuis le début de l'année. Les deux principales causes de retard restent les causes Infra équipement ainsi que les causes externes. Notre fiabilité a été fortement impactée par les mouvements sociaux de la fin du mois.
TER_14;2016-04;Midi Pyrénées;7254;7131;123;625;91.2;10.4;"1. Dérangements d'installations (3 9340minutes perdues)
2. Cause Externe (2 194 minutes perdues)
3. ADC TER (833 minutes perdues)
4. Matériel TER (909 minutes perdues)"
